time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-20T12:34:00.800Z,36.5553,-121.134,9.5,1.3,Md,8,129.6,0.04491576,0.01,nc,nc72280601,2014-08-20T12:35:40.486Z,"22km NE of Soledad, California",earthquake
2014-08-20T12:08:18.310Z,33.6595,-116.7483333,14.69,0.75,ml,28,55,0.05888,0.21,ci,ci37259976,2014-08-20T12:13:51.040Z,"9km SSW of Idyllwild-Pine Cove, California",earthquake
2014-08-20T12:04:21.000Z,61.3816,-149.9062,31.9,1.4,ml,,,,0.78,ak,ak11361638,2014-08-20T12:19:34.467Z,"15km S of Big Lake, Alaska",earthquake
2014-08-20T11:49:28.400Z,34.204,-117.05,8.93,1.05,ml,30,47,0.06458,0.19,ci,ci37259968,2014-08-20T11:54:21.280Z,"5km E of Running Springs, California",earthquake
2014-08-20T11:37:24.500Z,19.984,-155.725,6.7,2.4,Md,,126,0.05389892,0.31,hv,hv60753811,2014-08-20T11:40:39.799Z,"7km SW of Waimea, Hawaii",earthquake
2014-08-20T11:36:19.000Z,60.1554,-152.3261,87.7,2.1,ml,,,,0.8,ak,ak11361628,2014-08-20T11:46:50.924Z,"43km SSE of Redoubt Volcano, Alaska",earthquake
2014-08-20T11:31:59.430Z,35.8962,-97.2177,5,3.3,mb_lg,,59,0.191,0.59,us,usb000s4jb,2014-08-20T12:34:25.066Z,"6km SSE of Langston, Oklahoma",earthquake
2014-08-20T11:29:52.590Z,32.7103333,-115.3345,9.71,1.05,ml,11,211,0.1339,0.28,ci,ci37259960,2014-08-20T11:34:21.310Z,"11km SSE of Holtville, California",earthquake
2014-08-20T11:26:22.800Z,37.6417,-118.9528,10,0.9,Md,12,108,0.02694946,0.03,nc,nc72280576,2014-08-20T12:23:03.286Z,"1km ESE of Mammoth Lakes, California",earthquake
2014-08-20T11:23:38.650Z,33.4083333,-117.1371667,13.13,1.95,ml,6,227,0.2654,0.12,ci,ci37259952,2014-08-20T11:30:15.760Z,"1km ESE of Rainbow, California",earthquake
2014-08-20T11:22:46.000Z,60.0648,-145.6117,12,2.2,ml,,,,0.64,ak,ak11361617,2014-08-20T11:32:36.254Z,"53km S of Cordova, Alaska",earthquake
2014-08-20T11:14:33.440Z,32.1723328,-115.2301636,25.4,3.46,ml,18,210,0.1844,0.52,ci,ci37259944,2014-08-20T11:20:36.846Z,"8km SW of Alberto Oviedo Mota, Mexico",earthquake
2014-08-20T11:01:39.500Z,35.894,-97.2292,7.22,3.2,mb_lg,,60,0.186,0.41,us,usb000s4iv,2014-08-20T12:19:46.143Z,"6km SSE of Langston, Oklahoma",earthquake
2014-08-20T10:33:48.790Z,34.022,-117.2751667,16.64,0.64,ml,22,87,0.08802,0.27,ci,ci37259936,2014-08-20T10:39:11.650Z,"3km SSW of Loma Linda, California",earthquake
